"Weight","Oxygen_Consumption_Rate"
56.2,0.0474183421132618
42.75,0.0644742310729298
46.61,0.0498156280069606
37.54,0.0504996341410489
35.81,0.0476663187515424
38.38,0.0263233881203483
38.87,0.0427978088043746
51.06,0.0503683521041313
47.49,0.047609728403696
44.71,0.0516033087303312
52.01,0.0592747161075687
42.31,0.0250438351301708
42.38,0.0338306761402806
48.16,0.0358467891579003
43.94,0.0497446728877466
47.51,0.0312630045114463
47.04,0.034487988106777
38,0.0286395870939969
43.03,0.0288072988479721
45.55,0.0482902560232172
49.89,0.0377390962255814
40.13,0.0315991453100754
51.17,0.0450433776787661
52.91,0.0674330058424296
48.7,0.0472797351146133
46.52,0.0519764700717533
38.15,0.0358422613712291
49.3,0.0549023246827189
51.27,0.0628171897361752
53.75,0.0604306741748485
49.46,0.0537204066795307
47.91,0.0660817630775095
47.89,0.0711720637854514
45.44,0.0570288165845597
57.42,0.0754044866188511
41.33,0.0525503478307004
44.12,0.0626876884996743
37.88,0.0520471185164407
44.44,0.0560089975065879
58.74,0.0520162488537472
50.85,0.0306915204862729
38.8,0.0553244717679658
43.12,0.0488489959912219
37.64,0.0630201921108182
51.55,0.0861033615012479
57.75,0.0676675182563873
48.34,0.0573237899737133
57.62,0.0670279209363898
38.23,0.0469942582449783
59.76,0.0641321914908164
47.8,0.0511301495387197
39.98,0.0534502121343333
51.17,0.0419390075907334
38.58,0.0535439959160433
49.76,0.0580248009429059
40.94,0.0526874670996091
41.79,0.0590545606872893
56.97,0.074547339632899
39.57,0.0534986523935265
50.84,0.0566559658276324
60.42,0.0711877769278973
60.99,0.0756570286656018
60.78,0.0757028457512739
46.24,0.0536837461360297
63.14,0.0777059221316535
40.01,0.0502081255208953
57.09,0.0640719266063711
49.05,0.0495631248530127
34.54,0.0316298546106161
39.56,0.0407513021134777
46.62,0.0700803305516724
52.87,0.085052244407746
37.63,0.0379489924884776
49.01,0.0507699769915334
50.88,0.0671085166949595
59.6,0.0761614371564595
41.01,0.0485887396417221
36.67,0.0399566369577162
49.42,0.0720886468924544
56.85,0.0577510212307344
44.56,0.0665381417525026
45.47,0.0599276755565431
61.13,0.0641576522549059
51.09,0.0473584724121282
42.63,0.0501882053734272
45.05,0.041853156173202
53.1,0.0549204631659627
40.14,0.0350453356393733
35.85,0.0309811602707903
41.6,0.0409487485149101
42.13,0.0387422676018107
51.71,0.0539442570634118
76.55,0.0658442277603168
56.03,0.0647015303898762
38.97,0.0301252021501737
41.71,0.0316141044488262
58.83,0.0517246643653484
58.76,0.0519218463882539
41.96,0.0446572610289999
54.85,0.0605313498226568
42.26,0.0367758075018745
51.64,0.0515157167921418
45.43,0.0345613939126549
64.68,0.0768934471536131
41.54,0.0411668729424752
59.17,0.049795185001941
69.33,0.0585218653696088
53.35,0.04609886516401
51.7,0.0557552337012329
61.34,0.0815103300949934
54.51,0.0455669377021024
54.25,0.0473195974265484
56.94,0.0533029742008914
40.1,0.0432338930754857
46.9,0.0509552994472665
59.06,0.0588149542495524
73.87,0.0662830240312904
35.6,0.0249208012038305
50.08,0.0504797347053251
54.37,0.0511281593650439
50.38,0.0475587001005903
41.74,0.037310701053256
59.8,0.0540409415646875
42.37,0.0400194261691831
49.55,0.0671960951590563
35.65,0.0233918215058748
54.31,0.0631289708916678
62.78,0.0613313225316226
59.22,0.0584084699117373
53.19,0.0746631765036795
65.23,0.072228293815971
65.45,0.0657653857640439
42.04,0.0496568011781415
45.01,0.0659592011006705
36.79,0.0520465409843524
54.76,0.0578669429725625
54.04,0.0785343016150612
58.53,0.0854762630390213
63.83,0.0750588537095353
42.41,0.0625237700563899
53.58,0.0528877184007681
54.95,0.0403975763020733
46.8,0.0533665664742957
74.55,0.066161528575595
52.72,0.0546552652453725
67.83,0.0801619327969533
56.9,0.0478489143124762
45.34,0.0461550144518826
61.97,0.0634668684482832
61.79,0.0618006560206144
56.13,0.0506316750927486
61.13,0.051529814931802
77.78,0.0688211467906539
46.74,0.0450071721335792
60.27,0.0758389696523284
72.82,0.0811956638145588
44.35,0.0454372212449477
41.91,0.0354121911304115
74.39,0.0672939493536089
65.34,0.0677223066873811
55.91,0.0684766659946826
57.97,0.0698648050896823
43.07,0.0537476314412836
55.44,0.0455200260615486
51.76,0.0476995695337463
36.72,0.0180263295488731
59.2,0.0466160785159958
43.29,0.0430289800640432
45.28,0.0441314655881734
58.37,0.0466310910254779
54.73,0.0587177858020518
75.16,0.0787269672510663
52.8,0.0527423664638538
63.58,0.0513622938288909
39.95,0.0402261670382211
58.01,0.0385271616502311
61.2,0.035911647954748
56.62,0.0346733808563607
48.36,0.0449593419449792
46.45,0.0459335996101309
48.48,0.040474417072007
47.23,0.0398388098790367
57.09,0.0514654850313747
36.86,0.0303761865281941
45.14,0.0345207984797361
60.2,0.0531496339888562
47.88,0.051364933594291
43.35,0.0357948898876006
56.56,0.0382464361117429
67.93,0.0496675550967908
53.79,0.0483618076673075
44.36,0.0485739499792565
54.2,0.0519028938689138
61.08,0.0634532857561184
48.63,0.0502560964574279
61.99,0.0669801672817665
35.59,0.0309913979302392
60.88,0.0472235354967375
55.14,0.0652020820777296
76.91,0.0556546716598129
45.4,0.0460118796919824
55.82,0.0579934256578754
45.94,0.0393161394448636
